terms,item,year,value
current,output_of_cereals,2021,4024.941196
current,wheat,2021,2704.680083
current,barley,2021,1161.868993
current,oats_and_summer_cereal_mixtures,2021,151.1804327
current,output_of_industrial_crops,2021,977.0851725
current,oilseed_rape,2021,487.9054968
current,protein_crops,2021,215.2601917
current,sugar_beet,2021,216.1567882
current,output_of_forage_plants,2021,204.8040861
current,output_of_vegetables_and_horticultural_products,2021,3248.735789
current,fresh_vegetables,2021,1668.430444
current,plants_and_flowers,2021,1580.305345
current,output_of_potatoes,2021,705.6621678
current,output_of_fruit,2021,907.8137261
current,output_of_other_crop_products,2021,807.2353545
current,total_crop_output,2021,10876.27749
current,output_of_livestock,2021,10573.58279
current,livestock_for_meat,2021,9181.64076
current,beef,2021,3264.580565
current,pigmeat,2021,1442.455493
current,mutton_and_lamb,2021,1529.229793
current,poultry,2021,2900.804969
current,livestock_gross_fixed_capital_formation,2021,1391.942027
current,cattle_gross_fixed_capital_formation,2021,798.7414313
current,pigs_gross_fixed_capital_formation,2021,5.550322113
current,sheep_gross_fixed_capital_formation,2021,362.3267877
current,poultry_gross_fixed_capital_formation,2021,225.3234863
current,output_of_livestock_products,2021,5711.903168
current,milk,2021,4770.275597
current,eggs,2021,827.526455
current,total_livestock_output,2021,16285.48596
current,other_agricultural_activities,2021,1370.880239
current,inseparable_non_agricultural_activities,2021,1496.33571
current,output_at_market_prices,2021,30028.9794
current,total_subsidies_less_taxes_on_products,2021,47.33413617
current,gross_output_at_basic_prices,2021,30076.31353
current,seeds,2021,776.2505066
current,energy,2021,1403.999838
current,electricity_and_fuels_for_heating,2021,480.0504093
current,motor_and_machinery_fuels,2021,923.9494283
current,fertilisers,2021,1617.248211
current,plant_protection_products,2021,959.3284076
current,veterinary_expenses,2021,463.0800378
current,animal_feed,2021,6710.332
current,compounds,2021,4254.463823
current,straights,2021,1658.409419
current,feed_produced_and_used_on_farm_or_purchased,2021,797.4587585
current,total_maintenance,2021,1902.801106
current,materials_maintenance,2021,1103.71077
current,buildings_maintenance,2021,799.0903359
current,agricultural_services,2021,1370.880239
current,fisim,2021,156.663705
current,other_goods_and_services,2021,3493.746741
current,total_intermediate_consumption,2021,18854.33079
current,gross_value_added_at_market_prices,2021,11174.6486
current,gross_value_added_at_basic_prices,2021,11221.98274
current,total_consumption_of_fixed_capital,2021,4615.485183
current,equipment_total_consumption_of_fixed_capital,2021,2130.660893
current,buildings_total_consumption_of_fixed_capital,2021,1115.343785
current,livestock_total_consumption_of_fixed_capital,2021,1369.480504
current,cattle_total_consumption_of_fixed_capital,2021,828.6754247
current,pigs_total_consumption_of_fixed_capital,2021,5.798928058
current,sheep_total_consumption_of_fixed_capital,2021,292.7645312
current,poultry_total_consumption_of_fixed_capital,2021,242.2416197
current,net_value_added_at_market_prices,2021,6559.163422
current,net_value_added_at_basic_prices,2021,6606.497558
current,other_taxes_on_production,2021,-104.4352384
current,other_subsidies_on_production,2021,3249.305097
current,net_value_added_at_factor_cost,2021,9751.367417
current,compensation_of_employees,2021,2813.54663
current,rent,2021,545.0351001
current,interest,2021,394.6689356
current,total_income_from_farming,2021,5998.116751
real,output_of_cereals,2021,4024.941196
real,wheat,2021,2704.680083
real,barley,2021,1161.868993
real,oats_and_summer_cereal_mixtures,2021,151.1804327
real,output_of_industrial_crops,2021,977.0851725
real,oilseed_rape,2021,487.9054968
real,protein_crops,2021,215.2601917
real,sugar_beet,2021,216.1567882
real,output_of_forage_plants,2021,204.8040861
real,output_of_vegetables_and_horticultural_products,2021,3248.735789
real,fresh_vegetables,2021,1668.430444
real,plants_and_flowers,2021,1580.305345
real,output_of_potatoes,2021,705.6621678
real,output_of_fruit,2021,907.8137261
real,output_of_other_crop_products,2021,807.2353545
real,total_crop_output,2021,10876.27749
real,output_of_livestock,2021,10573.58279
real,livestock_for_meat,2021,9181.64076
real,beef,2021,3264.580565
real,pigmeat,2021,1442.455493
real,mutton_and_lamb,2021,1529.229793
real,poultry,2021,2900.804969
real,livestock_gross_fixed_capital_formation,2021,1391.942027
real,cattle_gross_fixed_capital_formation,2021,798.7414313
real,pigs_gross_fixed_capital_formation,2021,5.550322113
real,sheep_gross_fixed_capital_formation,2021,362.3267877
real,poultry_gross_fixed_capital_formation,2021,225.3234863
real,output_of_livestock_products,2021,5711.903168
real,milk,2021,4770.275597
real,eggs,2021,827.526455
real,total_livestock_output,2021,16285.48596
real,other_agricultural_activities,2021,1370.880239
real,inseparable_non_agricultural_activities,2021,1496.33571
real,output_at_market_prices,2021,30028.9794
real,total_subsidies_less_taxes_on_products,2021,47.33413617
real,gross_output_at_basic_prices,2021,30076.31353
real,seeds,2021,776.2505066
real,energy,2021,1403.999838
real,electricity_and_fuels_for_heating,2021,480.0504093
real,motor_and_machinery_fuels,2021,923.9494283
real,fertilisers,2021,1617.248211
real,plant_protection_products,2021,959.3284076
real,veterinary_expenses,2021,463.0800378
real,animal_feed,2021,6710.332
real,compounds,2021,4254.463823
real,straights,2021,1658.409419
real,feed_produced_and_used_on_farm_or_purchased,2021,797.4587585
real,total_maintenance,2021,1902.801106
real,materials_maintenance,2021,1103.71077
real,buildings_maintenance,2021,799.0903359
real,agricultural_services,2021,1370.880239
real,fisim,2021,156.663705
real,other_goods_and_services,2021,3493.746741
real,total_intermediate_consumption,2021,18854.33079
real,gross_value_added_at_market_prices,2021,11174.6486
real,gross_value_added_at_basic_prices,2021,11221.98274
real,total_consumption_of_fixed_capital,2021,4615.485183
real,equipment_total_consumption_of_fixed_capital,2021,2130.660893
real,buildings_total_consumption_of_fixed_capital,2021,1115.343785
real,livestock_total_consumption_of_fixed_capital,2021,1369.480504
real,cattle_total_consumption_of_fixed_capital,2021,828.6754247
real,pigs_total_consumption_of_fixed_capital,2021,5.798928058
real,sheep_total_consumption_of_fixed_capital,2021,292.7645312
real,poultry_total_consumption_of_fixed_capital,2021,242.2416197
real,net_value_added_at_market_prices,2021,6559.163422
real,net_value_added_at_basic_prices,2021,6606.497558
real,other_taxes_on_production,2021,-104.4352384
real,other_subsidies_on_production,2021,3249.305097
real,net_value_added_at_factor_cost,2021,9751.367417
real,compensation_of_employees,2021,2813.54663
real,rent,2021,545.0351001
real,interest,2021,394.6689356
real,total_income_from_farming,2021,5998.116751
real,entrepreneurial_labour,2021,199.6210952
real,total_income_from_farming_per_unit_of_entrepreneurial_labour,2021,30047.50949
current,output_of_cereals,2020,2762.245788
current,wheat,2020,1544.21495
current,barley,2020,1061.732281
current,oats_and_summer_cereal_mixtures,2020,149.841477
current,output_of_industrial_crops,2020,730.9315023
current,oilseed_rape,2020,358.479494
current,protein_crops,2020,154.6477559
current,sugar_beet,2020,166.5123862
current,output_of_forage_plants,2020,217.1081097
current,output_of_vegetables_and_horticultural_products,2020,3037.383399
current,fresh_vegetables,2020,1670.175904
current,plants_and_flowers,2020,1367.207495
current,output_of_potatoes,2020,824.2975321
current,output_of_fruit,2020,1030.828855
current,output_of_other_crop_products,2020,471.8994592
current,total_crop_output,2020,9074.694646
current,output_of_livestock,2020,9984.355735
current,livestock_for_meat,2020,8672.186851
current,beef,2020,2954.876866
current,pigmeat,2020,1480.712185
current,mutton_and_lamb,2020,1363.204022
current,poultry,2020,2829.279602
current,livestock_gross_fixed_capital_formation,2020,1312.168884
current,cattle_gross_fixed_capital_formation,2020,757.1145719
current,pigs_gross_fixed_capital_formation,2020,5.936663742
current,sheep_gross_fixed_capital_formation,2020,314.2739321
current,poultry_gross_fixed_capital_formation,2020,234.843716
current,output_of_livestock_products,2020,5267.376717
current,milk,2020,4426.003533
current,eggs,2020,739.8699895
current,total_livestock_output,2020,15251.73245
current,other_agricultural_activities,2020,1247.620278
current,inseparable_non_agricultural_activities,2020,1496.121882
current,output_at_market_prices,2020,27070.16926
current,total_subsidies_less_taxes_on_products,2020,47.33413617
current,gross_output_at_basic_prices,2020,27117.50339
current,seeds,2020,863.4366539
current,energy,2020,1234.103737
current,electricity_and_fuels_for_heating,2020,451.6870592
current,motor_and_machinery_fuels,2020,782.4166782
current,fertilisers,2020,1057.914064
current,plant_protection_products,2020,895.5345579
current,veterinary_expenses,2020,460.6143638
current,animal_feed,2020,5731.893267
current,compounds,2020,3472.955893
current,straights,2020,1545.464691
current,feed_produced_and_used_on_farm_or_purchased,2020,713.4726826
current,total_maintenance,2020,1845.379054
current,materials_maintenance,2020,1088.157812
current,buildings_maintenance,2020,757.2212423
current,agricultural_services,2020,1247.620278
current,fisim,2020,174.4001872
current,other_goods_and_services,2020,3299.044923
current,total_intermediate_consumption,2020,16809.94109
current,gross_value_added_at_market_prices,2020,10260.22817
current,gross_value_added_at_basic_prices,2020,10307.56231
current,total_consumption_of_fixed_capital,2020,4584.726994
current,equipment_total_consumption_of_fixed_capital,2020,2045.94269
current,buildings_total_consumption_of_fixed_capital,2020,1075.176771
current,livestock_total_consumption_of_fixed_capital,2020,1463.607533
current,cattle_total_consumption_of_fixed_capital,2020,891.2165297
current,pigs_total_consumption_of_fixed_capital,2020,5.785112412
current,sheep_total_consumption_of_fixed_capital,2020,285.8556644
current,poultry_total_consumption_of_fixed_capital,2020,280.7502262
current,net_value_added_at_market_prices,2020,5675.501179
current,net_value_added_at_basic_prices,2020,5722.835315
current,other_taxes_on_production,2020,-104.258174
current,other_subsidies_on_production,2020,3297.225593
current,net_value_added_at_factor_cost,2020,8915.802734
current,compensation_of_employees,2020,2730.730582
current,rent,2020,543.4169205
current,interest,2020,399.3450527
current,total_income_from_farming,2020,5242.310179
real,output_of_cereals,2020,2770.115434
real,wheat,2020,1548.614422
real,barley,2020,1064.757159
real,oats_and_summer_cereal_mixtures,2020,150.2683758
real,output_of_industrial_crops,2020,733.0139282
real,oilseed_rape,2020,359.5008031
real,protein_crops,2020,155.0883478
real,sugar_beet,2020,166.9867804
real,output_of_forage_plants,2020,217.7266513
real,output_of_vegetables_and_horticultural_products,2020,3046.036913
real,fresh_vegetables,2020,1674.93424
real,plants_and_flowers,2020,1371.102673
real,output_of_potatoes,2020,826.6459581
real,output_of_fruit,2020,1033.76569
real,output_of_other_crop_products,2020,473.2439021
real,total_crop_output,2020,9100.548477
real,output_of_livestock,2020,10012.80119
real,livestock_for_meat,2020,8696.893936
real,beef,2020,2963.295318
real,pigmeat,2020,1484.930739
real,mutton_and_lamb,2020,1367.087794
real,poultry,2020,2837.340228
real,livestock_gross_fixed_capital_formation,2020,1315.907257
real,cattle_gross_fixed_capital_formation,2020,759.2715935
real,pigs_gross_fixed_capital_formation,2020,5.953577314
real,sheep_gross_fixed_capital_formation,2020,315.1692994
real,poultry_gross_fixed_capital_formation,2020,235.5127864
real,output_of_livestock_products,2020,5282.383488
real,milk,2020,4438.61323
real,eggs,2020,741.9778812
real,total_livestock_output,2020,15295.18468
real,other_agricultural_activities,2020,1251.174752
real,inseparable_non_agricultural_activities,2020,1500.384338
real,output_at_market_prices,2020,27147.29225
real,total_subsidies_less_taxes_on_products,2020,47.46899126
real,gross_output_at_basic_prices,2020,27194.76124
real,seeds,2020,865.8965874
real,energy,2020,1237.619702
real,electricity_and_fuels_for_heating,2020,452.9739169
real,motor_and_machinery_fuels,2020,784.6457855
real,fertilisers,2020,1060.928064
real,plant_protection_products,2020,898.0859384
real,veterinary_expenses,2020,461.9266554
real,animal_feed,2020,5748.223447
real,compounds,2020,3482.850354
real,straights,2020,1549.867725
real,feed_produced_and_used_on_farm_or_purchased,2020,715.5053683
real,total_maintenance,2020,1850.636544
real,materials_maintenance,2020,1091.257976
real,buildings_maintenance,2020,759.3785678
real,agricultural_services,2020,1251.174752
real,fisim,2020,174.8970538
real,other_goods_and_services,2020,3308.443911
real,total_intermediate_consumption,2020,16857.83266
real,gross_value_added_at_market_prices,2020,10289.45959
real,gross_value_added_at_basic_prices,2020,10336.92858
real,total_consumption_of_fixed_capital,2020,4597.788894
real,equipment_total_consumption_of_fixed_capital,2020,2051.771587
real,buildings_total_consumption_of_fixed_capital,2020,1078.239952
real,livestock_total_consumption_of_fixed_capital,2020,1467.777355
